lambda_vector;mu_a_Oxy;mu_a_Deoxy;mu_a_Fat;mu_a_Water;mu_a_Mel;mu_a_Baseline;mu_a_StratumCorneum;mu_a_Epidermis;mu_a_PapiDermis;mu_a_UpBloodDermis;mu_a_RetiDermis;mu_a_DeepBloodDermis;mu_a_FatDermis
853;0.00057456;5.75E-08;6.31E-05;4.53E-06;0.011467894;2.46E-05;1.46E-05;0.000249469;3.31E-05;0.000105322;2.91E-05;5.69E-05;7.85E-05
854;0.00057564;5.76E-08;6.33E-05;4.58E-06;0.011423238;2.46E-05;1.46E-05;0.000248584;3.32E-05;0.000105534;2.92E-05;5.71E-05;7.87E-05
855;0.000577476;5.77E-08;6.39E-05;4.63E-06;0.011378808;2.46E-05;1.46E-05;0.000247702;3.33E-05;0.000105876;2.93E-05;5.73E-05;7.93E-05
856;0.000579312;5.79E-08;6.47E-05;4.70E-06;0.011334603;2.46E-05;1.47E-05;0.000246829;3.34E-05;0.000106227;2.94E-05;5.75E-05;8.01E-05
857;0.000581904;5.82E-08;6.56E-05;4.77E-06;0.01129062;2.46E-05;1.47E-05;0.00024596;3.35E-05;0.000106707;2.95E-05;5.77E-05;8.10E-05
858;0.000584496;5.84E-08;6.62E-05;4.83E-06;0.011246859;2.46E-05;1.47E-05;0.000245096;3.36E-05;0.000107186;2.97E-05;5.80E-05;8.16E-05
859;0.000587088;5.87E-08;6.66E-05;4.90E-06;0.011203319;2.46E-05;1.48E-05;0.000244236;3.37E-05;0.000107666;2.98E-05;5.83E-05;8.21E-05
860;0.00058968;5.90E-08;6.74E-05;4.94E-06;0.011159997;2.46E-05;1.48E-05;0.000243375;3.38E-05;0.000108131;2.99E-05;5.85E-05;8.28E-05
861;0.000592272;5.92E-08;6.80E-05;4.98E-06;0.011116893;2.46E-05;1.48E-05;0.000242519;3.39E-05;0.000108597;3.00E-05;5.88E-05;8.35E-05
862;0.000594864;5.95E-08;6.90E-05;5.02E-06;0.011074006;2.46E-05;1.48E-05;0.000241668;3.41E-05;0.000109062;3.01E-05;5.90E-05;8.44E-05
